YEAR,AGID,SPNAME,Fish ID,Web ID,Old ID,County,Sectemp,Gear,Batch,Fish #,Type,Condition,MONTH,Day,Sacrifice Date,WEIGHT,GRAM,Wt from Angler?,SL (mm),SL (in),FORK,FL (in),TOTAL,TOTAL2,SIZE,Sample Wt,Fisherman,MorF,SEX,JVSEX,Assumed Sex,Stage,Water,AREA,Structures Collected,Gonads Harvested,Gonad Wt,Muscle Sample,Stomach collected,Scott Oto,Hank Oto,Joey 1st Oto,Joey 2nd Oto,Billy Oto,Joey MI,MI,Prev Inc,Final MI Age,Joey 1,Joey 2,Billy,OTOAGE,New Age,STATE,AGE,Hank Scale,Joey Scale,Billy Scale,Scale Age,Joey Spine,Hank Spine,Billy Spine,Spine Age,Site,Notes,Comments
2007,20,Sheepshead,AP7-020,FI002,FI002,,,,,,FI,1,7,25,7/25/2007,0.000719,0.326,FALSE,20,0.787,,,25,0.984,0,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.150684932,VA,0,,,,,,,,,RAYO 12,,
2007,23,Sheepshead,AP7-023,FI005,FI005,,,,,,FI,1,7,27,7/27/2007,0.00608,0.276,FALSE,20,0.787,24.5,0.965,25.5,1.004,1,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths except one astercii were collected,
2007,21,Sheepshead,AP7-021,FI003,FI003,,,,,,FI,1,7,27,7/27/2007,0.000767,0.348,FALSE,19.5,0.768,25,0.984,26,1.024,1,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,MES 24,,
2007,25,Sheepshead,AP7-025,FI007,FI006,,,,,,FI,1,7,27,7/27/2007,0.000761,0.345,FALSE,20,0.787,25.5,1.004,27,1.063,1,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths (6) were collected,
2007,24,Sheepshead,AP7-024,FI006,FI005,,,,,,FI,1,7,27,7/27/2007,0.000858,0.389,FALSE,21,0.827,27,1.063,28,1.102,1,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,Both sagittae and lapilli collected--one of sagittae was broken,
2007,22,Sheepshead,AP7-022,FI004,FI004,,,,,,FI,1,7,27,7/27/2007,0.000939,0.426,FALSE,21.5,0.846,27,1.063,28.5,1.122,1,,Stacy Beharry,JUV,0,2,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths (6) were collected from the fish,
2007,28,Sheepshead,AP7-028,FI010,FI010,,,,,,FI,1,7,27,7/27/2007,0.000734,0.333,FALSE,21,0.827,,,28.5,1.122,1,,Stacy Beharry,JUV,0,1,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths (6) were collected.,
2007,26,Sheepshead,AP7-026,FI008,FI007,,,,,,FI,1,7,27,7/27/2007,0.000966,0.438,FALSE,21.5,0.846,27.5,1.083,29,1.142,1,,Stacy Beharry,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths but 1 astercii were collected,
2007,27,Sheepshead,AP7-027,FI009,FI009,,,,,,FI,1,7,27,7/27/2007,0.000894,0.404,FALSE,21.5,0.846,,,29.5,1.161,1,,Stacy Beharry,JUV,0,1,2,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.156164384,VA,0,,,,,,,,,,All otoliths but 1 astericii were collected.,
2007,19,Sheepshead,AP7-019,FI001,FI001,,,,,,FI,1,7,25,7/25/2007,0.00124,0.564,FALSE,25,0.984,29.5,1.161,32,1.26,1,,Stacy Beharry,JUV,0,2,1,0,,,1,FALSE,,TRUE,TRUE,,,0+0,0+0,0+0,0+0,,,0,0,0,0,0,0.150684932,VA,0,,,,,,,,,RAYO 12,,
