YEAR,AGID,SPNAME,MONTH,DAY,BATCH,ENVNO,WEIGHT,FORK,TOTAL,SEX,STAGE,JVSEX,COMMENT,TOTAL2,SIZE,FISHID,GROUPNUM,STRUC,WATER,TYPE,AREA,SELECTED,READER1,READER1PREC,READER2,READER2PREC,OTOAGE,YOBOTO,difference,OTOAGED,JBFISHID,selection.50,GRAM,FL,STATE,AGE
2008,1,Sheepshead,5,14,114,1,3.003,387,410,2,3,2,,16.142,16,2008051400001140001,356,2,306,C,BAY,,4,4,4,4,4,2004,,1,AP8-001,1,1362.1608,387,VA,4
2008,2,Sheepshead,5,14,114,2,3.659,399,434,2,3,2,,17.087,17,2008051400001140002,356,2,306,C,BAY,,5,5,5,,5,2003,,1,AP8-002,,1659.7224,399,VA,5
2008,3,Sheepshead,5,22,122,1,0.745,245,268,3,0,3,,10.551,10,2008052200001220001,356,2,307,C,BAY,,2,2,2,,2,2006,,1,AP8-003,,337.932,245,VA,2
2008,4,Sheepshead,5,22,122,2,2.199,325,351,1,2,1,,13.819,13,2008052200001220002,356,2,307,C,BAY,,2,2,2,,2,2006,,1,AP8-004,,997.4664,325,VA,2
2008,5,Sheepshead,5,22,122,3,1.234,282,298,3,0,3,,11.732,11,2008052200001220003,356,2,307,C,BAY,,2,2,2,,2,2006,,1,AP8-005,,559.7424,282,VA,2
2008,6,Sheepshead,5,22,122,4,0.912,245,267,1,1,1,,10.512,10,2008052200001220004,356,2,307,C,BAY,,2,2,2,2,2,2006,,1,AP8-006,1,413.6832,245,VA,2
2008,7,Sheepshead,5,22,122,5,1.4,285,300,2,1,2,,11.811,11,2008052200001220005,356,2,307,C,BAY,,2,2,2,,2,2006,,1,AP8-007,,635.04,285,VA,2
2008,8,Sheepshead,5,22,122,6,0.689,230,248,3,0,3,,9.764,9,2008052200001220006,356,2,307,C,BAY,,2,2,2,,2,2006,,1,AP8-008,,312.5304,230,VA,2
2008,9,Sheepshead,6,3,126,1,6.139,473,523,1,3,1,,20.591,20,2008060300001260001,356,2,306,C,BAY,,7,7,7,7,7,2001,,1,AP8-009,1,2784.6504,473,VA,7
2008,10,Sheepshead,6,4,129,1,6.123,492,545,1,3,1,,21.457,21,2008060400001290001,356,2,306,C,BAY,,7,7,7,7,7,2001,,1,AP8-010,1,2777.3928,492,VA,7
2008,11,Sheepshead,6,5,323,1,11.3,543,592,2,3,2,,23.307,23,2008060500003230001,356,1,307,C,BAY,,16,17,17,,17,1991,1,1,AP8-012,,5125.68,543,VA,17
2008,12,Sheepshead,6,7,324,1,,435,481,2,2,2,,18.937,18,2008060700003240001,356,1,307,R,BAY,,5,5,5,,5,2003,,1,AP8-011,,,435,VA,5
2008,13,Sheepshead,6,11,142,1,7.047,505,551,1,2,1,,,21,2008061100001420001,356,1,307,C,BAY,,14,14,14,,14,1994,,1,AP8-013,,3196.5192,505,VA,14
2008,14,Sheepshead,6,11,142,2,3.698,406,442,1,2,1,,17.402,17,2008061100001420002,356,1,307,C,BAY,,5,5,5,5,5,2003,,1,AP8-014,1,1677.4128,406,VA,5
2008,15,Sheepshead,6,11,7056,1,12.35,600,655,2,3,2,,25.787,25,2008061106070560001,356,1,307,C,BAY,,10,10,11,,10,1998,1,1,AP8-048,,5601.96,600,VA,10
2008,16,Sheepshead,6,11,7056,2,,592.5,647.5,1,3,1,,25.492,25,2008061106070560002,356,1,307,C,BAY,,17,17,17,,17,1991,,1,AP8-049,,,592.5,VA,17
2008,17,Sheepshead,6,11,7056,3,12.03,570,627.5,2,3,2,,24.705,24,2008061106070560003,356,1,307,C,BAY,,14,14,14,,14,1994,,1,AP8-050,,5456.808,570,VA,14
2008,18,Sheepshead,6,11,7056,4,11.61,572.5,610,1,3,1,,24.016,24,2008061106070560004,356,1,307,C,BAY,,14,14,13,,14,1994,1,1,AP8-051,,5266.296,572.5,VA,14
2008,19,Sheepshead,6,19,174,1,2.423,329,357,3,0,3,,14.055,14,2008061900001740001,356,3,,C,BAY,,3,3,3,,3,2005,,1,AP8-015,,1099.0728,329,VA,3
2008,20,Sheepshead,6,19,174,2,1.118,254,276,3,0,3,,10.866,10,2008061900001740002,356,3,,C,BAY,,2,2,2,,2,2006,,1,AP8-016,,507.1248,254,VA,2
2008,21,Sheepshead,6,19,174,3,10.118,556,608,1,2,1,,23.937,23,2008061900001740003,356,3,,C,BAY,,18,18,18,,18,1990,,1,AP8-017,,4589.5248,556,VA,18
2008,22,Sheepshead,6,19,174,4,4.414,426,460,2,2,2,,18.11,18,2008061900001740004,356,3,,C,BAY,,10,10,11,,10,1998,1,1,AP8-018,,2002.1904,426,VA,10
2008,23,Sheepshead,6,19,174,5,1.549,289,309,3,0,3,,12.165,12,2008061900001740005,356,3,,C,BAY,,3,3,2,2,3,2005,1,1,AP8-019,1,702.6264,289,VA,3
2008,24,Sheepshead,6,19,174,6,0.625,215,232,0,0,2,,9.134,9,2008061900001740006,356,3,,C,BAY,,1,1,1,1,1,2007,,1,AP8-020,1,283.5,215,VA,1
2008,25,Sheepshead,6,19,174,7,0.409,188,200,0,0,2,,7.874,7,2008061900001740007,356,3,,C,BAY,,1,1,1,,1,2007,,1,AP8-021,,185.5224,188,VA,1
2008,26,Sheepshead,6,19,174,8,0.449,188,204,0,0,1,,8.031,8,2008061900001740008,356,3,,C,BAY,,1,1,1,1,1,2007,,1,AP8-022,1,203.6664,188,VA,1
2008,27,Sheepshead,6,19,174,9,0.497,205,221,0,0,2,,8.701,8,2008061900001740009,356,3,,C,BAY,,1,1,1,,1,2007,,1,AP8-023,,225.4392,205,VA,1
2008,28,Sheepshead,6,21,325,1,,556,614,2,3,2,,24.173,24,2008062100003250001,356,1,307,R,BAY,,13,14,14,,14,1994,1,1,AP8-024,,,556,VA,14
2008,29,Sheepshead,6,21,325,2,,536,586,1,1,1,,,23,2008062100003250002,356,1,307,R,BAY,,25,25,25,26,25,1983,,1,AP8-025,1,,536,VA,25
2008,30,Sheepshead,6,21,325,3,,538,584,2,3,2,,22.992,22,2008062100003250003,356,1,307,R,BAY,,12,12,12,,12,1996,,1,AP8-026,,,538,VA,12
2008,31,Sheepshead,6,21,325,4,,530,584,1,2,1,,22.992,22,2008062100003250004,356,1,307,R,BAY,,18,18,18,,18,1990,,1,AP8-027,,,530,VA,18
2008,32,Sheepshead,6,21,325,5,,534,593,1,1,1,,23.346,23,2008062100003250005,356,1,307,R,BAY,,12,12,12,,12,1996,,1,AP8-028,,,534,VA,12
2008,33,Sheepshead,6,21,325,6,17,583,634,1,2,1,,24.961,24,2008062100003250006,356,1,307,R,BAY,,26,26,26,,26,1982,,1,AP8-029,,7711.2,583,VA,26
2008,34,Sheepshead,6,21,325,7,,580,624,1,1,1,,24.567,24,2008062100003250007,356,1,307,R,BAY,,35,35,35,35,35,1973,,1,AP8-030,1,,580,VA,35
2008,35,Sheepshead,6,23,326,1,,328,344,2,2,2,,13.543,13,2008062300003260001,356,1,307,R,BAY,,3,3,3,2,3,2005,,1,AP8-031,1,,328,VA,3
2008,36,Sheepshead,6,25,172,1,9.437,533,582,2,4,2,,22.913,22,2008062500001720001,356,3,625,C,OCEAN,,7,7,7,,7,2001,,1,AP8-032,,4280.6232,533,VA,7
2008,37,Sheepshead,6,26,175,1,11.1,567,625,2,2,2,"RACK, 1ST ISLAND",24.606,24,2008062600001750001,356,3,307,S,BAY,,15,15,15,,15,1993,,1,AP8-033,,5034.96,567,VA,15
2008,38,Sheepshead,6,26,175,2,9.6,532,578,1,2,1,1ST ISLAND,22.756,22,2008062600001750002,356,3,307,S,BAY,,10,11,11,,11,1997,1,1,AP8-034,,4354.56,532,VA,11
2008,39,Sheepshead,6,26,175,3,,524,559,2,4,2,1ST ISLAND,22.008,22,2008062600001750003,356,3,307,S,BAY,,7,7,7,7,7,2001,,1,AP8-035,1,,524,VA,7
2008,40,Sheepshead,6,28,179,1,,583,599,1,1,1,Long Bay Pointe,23.583,23,2008062800001790001,356,3,307,S,BAY,,18,18,18,17,18,1990,,1,AP8-036,1,,583,VA,18
2008,41,Sheepshead,6,28,179,2,,501,531,1,2,1,Long Bay Pointe,20.906,20,2008062800001790002,356,3,307,S,BAY,,11,11,11,,11,1997,,1,AP8-037,,,501,VA,11
2008,42,Sheepshead,6,28,179,3,,502,540,2,2,2,Long Bay Pointe,21.26,21,2008062800001790003,356,3,307,S,BAY,,7,7,7,7,7,2001,,1,AP8-038,1,,502,VA,7
2008,43,Sheepshead,6,29,180,1,,567,611,2,2,2,Little Creek Marina,24.055,24,2008062900001800001,356,3,307,S,BAY,,11,11,10,9,11,1997,1,1,AP8-039,1,,567,VA,11
2008,44,Sheepshead,7,7,327,1,,463,503,1,1,1,,19.803,19,2008070700003270001,356,1,307,R,BAY,,5,5,5,,5,2003,,1,AP8-040,,,463,VA,5
2008,45,Sheepshead,7,7,328,1,,471,502,1,1,1,,19.764,19,2008070700003280001,356,1,307,R,BAY,,5,5,4,,5,2003,1,1,AP8-041,,,471,VA,5
2008,46,Sheepshead,7,8,329,1,,379,416,1,1,1,,16.378,16,2008070800003290001,356,1,307,R,BAY,,3,3,2,,3,2005,1,1,AP8-042,,,379,VA,3
